Variable Region Level Season AbsMeanError
so antarctic 10m SON 0.1765907014175154
so antarctic 10m DJF 0.19261875784768562
so antarctic 100m MAM 0.13068242117003256
so antarctic 100m JJA 0.14367105189820215
so antarctic 100m SON 0.1241109330372086
so antarctic 100m DJF 0.1119784072607257
so antarctic 1000m MAM 0.012354260275247646
so antarctic 1000m JJA 0.011424843310972477
so antarctic 1000m SON 0.013124821694873157
so antarctic 1000m DJF 0.01239238292915272
