Variable Region Level Season AbsMeanError
thetao tropics 10m JJA 0.7442526
thetao tropics 10m SON 0.6984276
thetao tropics 10m DJF 0.882702
thetao tropics 100m MAM 1.2758605
thetao tropics 100m JJA 1.4429331
thetao tropics 100m SON 1.285163
thetao tropics 100m DJF 1.1843544
thetao tropics 1000m MAM 0.0945784
thetao tropics 1000m JJA 0.09605131
thetao tropics 1000m SON 0.10250302
thetao tropics 1000m DJF 0.09486139
thetao nino34 10m MAM 2.0905302
thetao nino34 10m JJA 0.87361085
thetao nino34 10m SON 0.6856368
thetao nino34 10m DJF 1.5776724
thetao nino34 100m MAM 1.2741607
thetao nino34 100m JJA 1.623836
thetao nino34 100m SON 0.6926351
thetao nino34 100m DJF 1.3511176
thetao nino34 1000m MAM 0.044837594
thetao nino34 1000m JJA 0.04234727
thetao nino34 1000m SON 0.04199882
thetao nino34 1000m DJF 0.056652937
thetao southmid 10m MAM 0.8129422
thetao southmid 10m JJA 0.8397581
thetao southmid 10m SON 0.9518224
thetao southmid 10m DJF 0.75811565
thetao southmid 100m MAM 0.83079994
thetao southmid 100m JJA 0.8541983
thetao southmid 100m SON 0.91394097
thetao southmid 100m DJF 0.8253965
thetao southmid 1000m MAM 0.20634066
thetao southmid 1000m JJA 0.21759084
thetao southmid 1000m SON 0.22352228
thetao southmid 1000m DJF 0.20044021
thetao antarctic 10m MAM 0.5548598
thetao antarctic 10m JJA 0.5351712
thetao antarctic 10m SON 0.484652
thetao antarctic 10m DJF 0.6871249
thetao antarctic 100m MAM 0.7912542
thetao antarctic 100m JJA 0.9944136
thetao antarctic 100m SON 1.0326928
thetao antarctic 100m DJF 0.86352396
thetao antarctic 1000m MAM 0.12731428
thetao antarctic 1000m JJA 0.12468854
thetao antarctic 1000m SON 0.13723603
thetao antarctic 1000m DJF 0.12249554
so arctic 10m MAM 1.2987147576079952
so arctic 10m JJA 1.131619725437575
so arctic 10m SON 1.0581786251306566
so arctic 10m DJF 1.3466755718387966
so arctic 100m MAM 0.26665446229151724
so arctic 100m JJA 0.28205922354935664
