lon,lat,ifs_index,status
87.000000,65.921650,1730,ok
90.000000,65.921650,1731,ok
93.000000,65.921650,1732,ok
96.000000,65.921650,1733,ok
99.000000,65.921650,1734,ok
102.000000,65.921650,1735,ok
105.000000,65.921650,1736,ok
108.000000,65.921650,1737,ok
111.000000,65.921650,1738,ok
114.000000,65.921650,1739,ok
117.000000,65.921650,1740,ok
120.000000,65.921650,1741,ok
123.000000,65.921650,1742,ok
126.000000,65.921650,1743,ok
129.000000,65.921650,1744,ok
132.000000,65.921650,1745,ok
135.000000,65.921650,1746,ok
138.000000,65.921650,1747,ok
141.000000,65.921650,1748,ok
144.000000,65.921650,1749,ok
147.000000,65.921650,1750,ok
150.000000,65.921650,1751,ok
153.000000,65.921650,1752,ok
156.000000,65.921650,1753,ok
159.000000,65.921650,1754,ok
162.000000,65.921650,1755,ok
165.000000,65.921650,1756,ok
168.000000,65.921650,1757,ok
171.000000,65.921650,1758,ok
174.000000,65.921650,1759,ok
177.000000,65.921650,1760,ok
-180.000000,65.921650,1761,ok
-177.000000,65.921650,1762,ok
-174.000000,65.921650,1763,ok
-165.000000,65.921650,1766,ok
-162.000000,65.921650,1767,ok
-159.000000,65.921650,1768,ok
-156.000000,65.921650,1769,ok
-153.000000,65.921650,1770,ok
-150.000000,65.921650,1771,ok
-147.000000,65.921650,1772,ok
-144.000000,65.921650,1773,ok
-141.000000,65.921650,1774,ok
-138.000000,65.921650,1775,ok
-135.000000,65.921650,1776,ok
-132.000000,65.921650,1777,ok
-129.000000,65.921650,1778,ok
-126.000000,65.921650,1779,ok
-123.000000,65.921650,1780,ok
-120.000000,65.921650,1781,ok
-117.000000,65.921650,1782,ok
-114.000000,65.921650,1783,ok
-111.000000,65.921650,1784,ok
-108.000000,65.921650,1785,ok
-105.000000,65.921650,1786,ok
-102.000000,65.921650,1787,ok
-99.000000,65.921650,1788,ok
-96.000000,65.921650,1789,ok
-93.000000,65.921650,1790,ok
-90.000000,65.921650,1791,ok
-87.000000,65.921650,1792,ok
-72.000000,65.921650,1797,ok
-69.000000,65.921650,1798,ok
-63.000000,65.921650,1800,ok
-51.000000,65.921650,1804,ok
-48.000000,65.921650,1805,ok
-45.000000,65.921650,1806,ok
-42.000000,65.921650,1807,ok
-39.000000,65.921650,1808,ok
-15.000000,65.921650,1816,ok
14.516130,64.986600,1826,ok
17.419360,64.986600,1827,ok
20.322580,64.986600,1828,ok
26.129030,64.986600,1830,ok
29.032260,64.986600,1831,ok
31.935480,64.986600,1832,ok
40.645160,64.986600,1835,ok
43.548390,64.986600,1836,ok
46.451610,64.986600,1837,ok
49.354840,64.986600,1838,ok
52.258060,64.986600,1839,ok
55.161290,64.986600,1840,ok
58.064520,64.986600,1841,ok
60.967740,64.986600,1842,ok
63.870970,64.986600,1843,ok
66.774190,64.986600,1844,ok
69.677420,64.986600,1845,ok
72.580640,64.986600,1846,ok
75.483870,64.986600,1847,ok
78.387100,64.986600,1848,ok
81.290320,64.986600,1849,ok
84.193550,64.986600,1850,ok
87.096770,64.986600,1851,ok
90.000000,64.986600,1852,ok
92.903230,64.986600,1853,ok
95.806450,64.986600,1854,ok
98.709680,64.986600,1855,ok
101.612900,64.986600,1856,ok
104.516130,64.986600,1857,ok
107.419360,64.986600,1858,ok
110.322580,64.986600,1859,ok
113.225810,64.986600,1860,ok
116.129040,64.986600,1861,ok
119.032260,64.986600,1862,ok
121.935490,64.986600,1863,ok
124.838710,64.986600,1864,ok
127.741940,64.986600,1865,ok
130.645160,64.986600,1866,ok
133.548390,64.986600,1867,ok
136.451610,64.986600,1868,ok
139.354840,64.986600,1869,ok
142.258070,64.986600,1870,ok
145.161290,64.986600,1871,ok
148.064510,64.986600,1872,ok
150.967740,64.986600,1873,ok
153.870970,64.986600,1874,ok
156.774200,64.986600,1875,ok
159.677410,64.986600,1876,ok
162.580640,64.986600,1877,ok
165.483870,64.986600,1878,ok
168.387100,64.986600,1879,ok
171.290330,64.986600,1880,ok
174.193540,64.986600,1881,ok
177.096770,64.986600,1882,ok
-174.193540,64.986600,1885,ok
-165.483870,64.986600,1888,ok
-162.580640,64.986600,1889,ok
-159.677410,64.986600,1890,ok
-156.774200,64.986600,1891,ok
-153.870970,64.986600,1892,ok
-150.967740,64.986600,1893,ok
-148.064510,64.986600,1894,ok
-145.161290,64.986600,1895,ok
-142.258070,64.986600,1896,ok
-139.354840,64.986600,1897,ok
